"","True","Segmented","Rbeast","mcp","strucchange","Ours"
"123",16.8157389715348,21.0000004323328,16.5,16.8099579989481,16.5,15.9922890315098
"124",14.3656753305231,10.9999935830959,15,15.58489374266,15.5,14.5531888334356
"125",15.7522387942094,17.9999991955293,16.5,17.62178191331,16,15.6244199162978
"126",15.5852507282221,8.00000281356198,15.5,15.297279482648,15,14.4655423699834
"127",19.1006714606642,21.0000017305611,15,18.8488394323868,18.5,14.496557038884
"128",17.6562979575078,20.9999997972126,18,18.7757697970991,18.5,17.6174875635593
"129",17.4847948036516,19.1251952494506,18,18.3283413544655,18.5,17.2976612141654
"130",14.1654467818955,16.9999864319903,14,14.7738273963807,14.5,13.5306474268775
"131",18.3792496966559,27.000004930586,19.5,20.3864350042678,19.5,19.2112251557455
"132",13.7049369279729,12.9999871359468,14,13.7409903475176,13.5,12.7674476345558
"133",16.4621845322028,13.6477687157952,17,16.9272718731428,16.5,16.3964838761735
"134",12.6362450068722,12.9999470149769,23.5,13.8136644147152,14,12.7639425588025
"135",14.6710492560474,17.9999993603575,16,16.9284239424461,17,15.2402338030206
"136",12.9730172735411,9.99999990698575,14,13.947668351316,13.5,12.9876346665595
"137",16.5911595135992,14.9999758527831,17.5,17.3225138115317,17,16.2543873324225
"138",15.7477945368181,14.0000029295436,16,16.015328129687,15.5,15.0783587335301
"139",13.6323297888039,9.00003367414929,14.5,14.0936725831476,14,13.0218000357672
"140",14.4554620008742,10.9999873463667,15.5,15.255079883414,15,14.4962572159678
"141",15.81299054459,12.999993070197,16.5,16.3836402068355,16.5,15.3193651856966
"142",14.5696513962944,10.1759817692113,13,14.6081647458836,14.5,13.7250977435538
"143",18.4079881681194,22.4578398288074,16.5,18.3168711357107,19,16.170024724384
"144",15.334502526399,22.9999962850892,16,17.268538327188,16,15.5043480831524
"145",13.6225428762276,6,14,14.0944509517409,13.5,13.3265995671933
"146",14.88770918248,20.5642921770062,16.5,16.2721982292552,16,15.3267275171205
"147",14.4571737502682,12.0000131069783,15,14.7274818890524,14.5,13.8647382851636
"148",13.6703458961507,13.0000325044963,15,15.1413892061443,14.5,14.0456310531259
"149",13.3998038284368,16.0000041454342,13.5,17.1628730798045,17,15.7042273833836
"150",15.5645644674622,9.99999137375168,17.5,17.2107540192037,17.5,15.8006470475723
"151",16.6373239959427,14.8296861030942,17,17.6016541015852,17,16.5959995277402
"152",13.2758471590031,12.0000000644665,15.5,15.756723313095,15.5,14.9933806459079
"153",13.0047573950102,12.999939371839,15.5,15.6340143944584,15,14.563317750702
"154",14.2363992884468,11.0000135393533,14.5,14.6441260867564,14,13.5576924580336
"155",15.3701600462851,18.9999998041591,16,16.001210853246,15.5,15.034228371934
"156",13.3498539504168,16.8149731268275,14,14.2798573588121,14,13.3191099328403
"157",12.2005798892436,13.9999988214722,13.5,14.5364278082345,13.5,12.5668802501961
